date,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,total_volume
2024-09-01,0,00:00,down,10,120.00,9.40,14.25,16.00,79.00,111.00,269.0
2024-09-01,0,00:00,up,9,38.00,10.00,16.00,24.00,28.00,34.80,595.0
2024-09-01,1,04:00,down,3,16.00,15.20,15.50,16.00,16.00,16.00,53.0
2024-09-01,1,04:00,up,3,38.00,15.40,23.50,37.00,37.50,37.80,595.0
2024-09-01,2,08:00,up,2,38.00,34.40,35.00,36.00,37.00,37.60,513.0
2024-09-01,4,16:00,down,4,16.00,15.22,15.56,15.88,16.00,16.00,161.0
2024-09-01,4,16:00,up,4,38.00,11.80,14.50,26.50,37.25,37.70,637.0
2024-09-01,5,20:00,up,4,38.00,15.40,23.50,28.00,30.50,35.00,436.0
2024-09-02,0,00:00,down,10,120.00,9.40,14.25,16.00,79.00,111.00,269.0
2024-09-02,0,00:00,up,10,38.00,10.00,17.00,22.00,28.00,34.40,606.0
2024-09-02,1,04:00,up,2,38.00,37.10,37.25,37.50,37.75,37.90,563.0
2024-09-02,2,08:00,down,1,15.75,15.75,15.75,15.75,15.75,15.75,4.0
2024-09-02,2,08:00,up,4,38.00,29.80,32.50,35.50,37.25,37.70,537.0
2024-09-02,3,12:00,down,1,16.00,16.00,16.00,16.00,16.00,16.00,4.0
2024-09-02,3,12:00,up,1,10.00,10.00,10.00,10.00,10.00,10.00,27.0
2024-09-02,4,16:00,down,2,16.00,15.10,15.25,15.50,15.75,15.90,12.0
2024-09-02,4,16:00,up,4,38.00,11.80,14.50,26.50,37.25,37.70,632.0
2024-09-02,5,20:00,down,2,16.00,15.10,15.25,15.50,15.75,15.90,8.0
2024-09-02,5,20:00,up,3,38.00,13.60,19.00,28.00,33.00,36.00,440.0
2024-09-03,0,00:00,down,13,160.00,10.00,16.00,25.00,110.00,144.00,306.0
2024-09-03,0,00:00,up,10,38.00,19.00,25.75,31.50,35.00,37.10,595.0
2024-09-03,1,04:00,down,3,75.00,17.60,20.38,25.00,50.00,65.00,12.0
2024-09-03,1,04:00,up,5,38.00,23.60,35.00,37.00,37.00,37.60,649.0
2024-09-03,2,08:00,down,4,75.00,25.00,25.00,50.00,75.00,75.00,18.0
2024-09-03,2,08:00,up,5,38.00,23.20,28.00,34.00,35.00,36.80,566.0
2024-09-03,4,16:00,down,4,75.00,25.00,25.00,50.00,75.00,75.00,24.0
2024-09-03,4,16:00,up,6,50.00,25.50,35.50,37.50,47.00,50.00,682.0
2024-09-03,5,20:00,down,3,75.00,25.00,25.00,25.00,50.00,65.00,16.0
2024-09-03,5,20:00,up,4,38.00,30.10,33.25,35.00,35.75,37.10,459.0
2024-09-04,0,00:00,down,9,100.00,14.80,16.00,25.00,75.00,92.00,307.0
2024-09-04,0,00:00,up,9,38.00,27.40,30.00,35.00,35.00,35.60,618.0
2024-09-04,1,04:00,down,3,75.00,17.60,20.38,25.00,50.00,65.00,12.0
2024-09-04,1,04:00,up,2,38.00,35.30,35.75,36.50,37.25,37.70,577.0
2024-09-04,2,08:00,down,1,100.00,100.00,100.00,100.00,100.00,100.00,59.0
