date,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,total_volume
2025-01-01,0,00:00,down,5,16.00,14.36,14.90,15.00,15.15,15.66,171.0
2025-01-01,0,00:00,up,7,38.00,33.60,34.50,35.00,36.50,37.40,516.0
2025-01-01,1,04:00,down,1,16.00,16.00,16.00,16.00,16.00,16.00,150.0
2025-01-01,1,04:00,up,2,38.00,37.10,37.25,37.50,37.75,37.90,559.0
2025-01-01,2,08:00,down,2,15.00,15.00,15.00,15.00,15.00,15.00,20.0
2025-01-01,2,08:00,up,4,38.00,35.00,35.00,35.50,36.50,37.40,535.0
2025-01-01,4,16:00,down,2,15.00,14.10,14.25,14.50,14.75,14.90,26.0
2025-01-01,4,16:00,up,4,38.00,34.30,34.75,36.00,37.25,37.70,573.0
2025-01-01,5,20:00,up,3,38.00,34.40,35.00,36.00,37.00,37.60,426.0
2025-01-02,0,00:00,down,5,16.00,14.36,14.90,15.00,15.15,15.66,167.0
2025-01-02,0,00:00,up,7,38.00,33.60,34.50,35.00,36.50,37.40,519.0
2025-01-02,1,04:00,down,2,16.00,15.10,15.25,15.50,15.75,15.90,166.0
2025-01-02,1,04:00,up,3,38.00,35.40,36.00,37.00,37.50,37.80,567.0
2025-01-02,2,08:00,down,2,15.00,15.00,15.00,15.00,15.00,15.00,20.0
2025-01-02,2,08:00,up,4,38.00,35.00,35.00,35.50,36.50,37.40,535.0
2025-01-02,4,16:00,down,2,15.00,14.10,14.25,14.50,14.75,14.90,26.0
2025-01-02,4,16:00,up,4,38.00,34.30,34.75,36.00,37.25,37.70,573.0
2025-01-02,5,20:00,up,3,38.00,34.40,35.00,36.00,37.00,37.60,426.0
2025-01-03,0,00:00,down,5,16.00,14.36,14.90,15.00,15.15,15.66,167.0
2025-01-03,0,00:00,up,7,38.00,33.60,34.50,35.00,36.50,37.40,519.0
2025-01-03,1,04:00,down,2,16.00,15.10,15.25,15.50,15.75,15.90,166.0
2025-01-03,1,04:00,up,3,38.00,35.40,36.00,37.00,37.50,37.80,567.0
2025-01-03,2,08:00,down,2,15.00,15.00,15.00,15.00,15.00,15.00,20.0
2025-01-03,2,08:00,up,3,38.00,35.20,35.50,36.00,37.00,37.60,520.0
2025-01-03,4,16:00,down,3,15.00,14.20,14.50,15.00,15.00,15.00,42.0
2025-01-03,4,16:00,up,6,38.00,34.50,35.00,35.00,36.50,37.50,596.0
2025-01-03,5,20:00,down,1,15.00,15.00,15.00,15.00,15.00,15.00,12.0
2025-01-03,5,20:00,up,5,38.00,34.40,35.00,35.00,36.00,37.20,456.0
2025-01-04,0,00:00,down,6,16.00,14.45,14.93,15.00,15.11,15.57,183.0
2025-01-04,0,00:00,up,8,38.00,33.70,34.75,35.00,36.25,37.30,527.0
2025-01-04,1,04:00,down,1,16.00,16.00,16.00,16.00,16.00,16.00,150.0
2025-01-04,1,04:00,up,2,38.00,37.10,37.25,37.50,37.75,37.90,559.0
2025-01-04,2,08:00,down,2,15.00,15.00,15.00,15.00,15.00,15.00,20.0
2025-01-04,2,08:00,up,4,38.00,35.00,35.00,35.50,36.50,37.40,535.0
2025-01-04,4,16:00,down,2,15.00,14.10,14.25,14.50,14.75,14.90,26.0
2025-01-04,4,16:00,up,4,38.00,34.30,34.75,36.00,37.25,37.70,573.0
2025-01-04,5,20:00,up,3,38.00,34.40,35.00,36.00,37.00,37.60,426.0
