date,hour,minute,interval_start,price_eur_mwh,volume_mwh
2026-01-01,21,15,2026-01-01T21:15:00,98.21,710.35
2026-01-01,21,30,2026-01-01T21:30:00,120.0,719.95
2026-01-01,21,45,2026-01-01T21:45:00,78.0,711.575
2026-01-01,22,0,2026-01-01T22:00:00,121.32,690.925
2026-01-01,22,15,2026-01-01T22:15:00,111.0,696.45
2026-01-01,22,30,2026-01-01T22:30:00,92.11,701.65
2026-01-01,22,45,2026-01-01T22:45:00,75.52,693.175
2026-01-01,23,0,2026-01-01T23:00:00,120.31,705.525
2026-01-01,23,15,2026-01-01T23:15:00,66.35,698.825
2026-01-01,23,30,2026-01-01T23:30:00,62.08,716.9
2026-01-01,23,45,2026-01-01T23:45:00,43.38,737.425
2026-01-02,0,0,2026-01-02T00:00:00,117.44,769.0
2026-01-02,0,15,2026-01-02T00:15:00,106.0,772.2
2026-01-02,0,30,2026-01-02T00:30:00,82.76,773.425
2026-01-02,0,45,2026-01-02T00:45:00,28.0,747.45
2026-01-02,1,0,2026-01-02T01:00:00,83.01,762.625
2026-01-02,1,15,2026-01-02T01:15:00,60.48,744.1
2026-01-02,1,30,2026-01-02T01:30:00,58.76,749.3
2026-01-02,1,45,2026-01-02T01:45:00,48.0,745.0
2026-01-02,2,0,2026-01-02T02:00:00,66.56,761.95
2026-01-02,2,15,2026-01-02T02:15:00,45.0,755.575
2026-01-02,2,30,2026-01-02T02:30:00,60.0,771.15
2026-01-02,2,45,2026-01-02T02:45:00,37.56,768.525
2026-01-02,3,0,2026-01-02T03:00:00,41.52,758.3
2026-01-02,3,15,2026-01-02T03:15:00,68.05,779.725
2026-01-02,3,30,2026-01-02T03:30:00,52.62,779.025
2026-01-02,3,45,2026-01-02T03:45:00,35.37,772.175
2026-01-02,4,0,2026-01-02T04:00:00,45.4,773.425
2026-01-02,4,15,2026-01-02T04:15:00,54.0,780.65
2026-01-02,4,30,2026-01-02T04:30:00,91.07,793.625
2026-01-02,4,45,2026-01-02T04:45:00,46.0,754.725
2026-01-02,5,0,2026-01-02T05:00:00,48.1,731.475
2026-01-02,5,15,2026-01-02T05:15:00,79.06,744.25
2026-01-02,5,30,2026-01-02T05:30:00,64.0,735.65
2026-01-02,5,45,2026-01-02T05:45:00,112.63,752.55
2026-01-02,6,0,2026-01-02T06:00:00,20.43,739.75
2026-01-02,6,15,2026-01-02T06:15:00,66.2,742.675
2026-01-02,6,30,2026-01-02T06:30:00,130.0,767.9
2026-01-02,6,45,2026-01-02T06:45:00,181.65,769.975
2026-01-02,7,0,2026-01-02T07:00:00,130.0,767.6
2026-01-02,7,15,2026-01-02T07:15:00,148.92,760.575
2026-01-02,7,30,2026-01-02T07:30:00,108.26,749.175
2026-01-02,7,45,2026-01-02T07:45:00,115.6,737.075
2026-01-02,8,0,2026-01-02T08:00:00,122.81,952.775
2026-01-02,8,15,2026-01-02T08:15:00,121.18,937.2
2026-01-02,8,30,2026-01-02T08:30:00,120.7,930.975
2026-01-02,8,45,2026-01-02T08:45:00,99.44,927.8
2026-01-02,9,0,2026-01-02T09:00:00,120.31,917.625
2026-01-02,9,15,2026-01-02T09:15:00,110.88,917.275
2026-01-02,9,30,2026-01-02T09:30:00,95.93,918.175
2026-01-02,9,45,2026-01-02T09:45:00,86.62,920.275
2026-01-02,10,0,2026-01-02T10:00:00,113.04,932.025
2026-01-02,10,15,2026-01-02T10:15:00,102.22,929.375
2026-01-02,10,30,2026-01-02T10:30:00,97.56,927.075
2026-01-02,10,45,2026-01-02T10:45:00,95.14,925.5
2026-01-02,11,0,2026-01-02T11:00:00,108.83,946.8
2026-01-02,11,15,2026-01-02T11:15:00,102.38,946.8
2026-01-02,11,30,2026-01-02T11:30:00,99.01,947.75
2026-01-02,11,45,2026-01-02T11:45:00,97.59,947.325
2026-01-02,12,0,2026-01-02T12:00:00,97.82,956.775
2026-01-02,12,15,2026-01-02T12:15:00,94.93,954.85
2026-01-02,12,30,2026-01-02T12:30:00,93.25,952.175
2026-01-02,12,45,2026-01-02T12:45:00,93.46,957.575
2026-01-02,13,0,2026-01-02T13:00:00,85.97,959.975
2026-01-02,13,15,2026-01-02T13:15:00,93.0,956.5
2026-01-02,13,30,2026-01-02T13:30:00,98.99,948.975
2026-01-02,13,45,2026-01-02T13:45:00,130.0,948.575
2026-01-02,14,0,2026-01-02T14:00:00,94.12,913.875
2026-01-02,14,15,2026-01-02T14:15:00,97.0,912.525
2026-01-02,14,30,2026-01-02T14:30:00,121.54,913.0
2026-01-02,14,45,2026-01-02T14:45:00,131.1,916.725
2026-01-02,15,0,2026-01-02T15:00:00,109.05,913.975
2026-01-02,15,15,2026-01-02T15:15:00,115.88,905.375
2026-01-02,15,30,2026-01-02T15:30:00,134.6,913.925
2026-01-02,15,45,2026-01-02T15:45:00,155.28,915.125
2026-01-02,16,0,2026-01-02T16:00:00,127.91,924.625
2026-01-02,16,15,2026-01-02T16:15:00,141.68,925.35
2026-01-02,16,30,2026-01-02T16:30:00,142.73,917.6
2026-01-02,16,45,2026-01-02T16:45:00,141.29,917.65
2026-01-02,17,0,2026-01-02T17:00:00,147.01,892.975
2026-01-02,17,15,2026-01-02T17:15:00,138.28,893.275
2026-01-02,17,30,2026-01-02T17:30:00,135.85,898.075
2026-01-02,17,45,2026-01-02T17:45:00,134.14,906.875
2026-01-02,18,0,2026-01-02T18:00:00,135.96,929.825
2026-01-02,18,15,2026-01-02T18:15:00,145.32,939.45
2026-01-02,18,30,2026-01-02T18:30:00,130.65,944.35
2026-01-02,18,45,2026-01-02T18:45:00,131.99,950.125
2026-01-02,19,0,2026-01-02T19:00:00,136.64,925.075
2026-01-02,19,15,2026-01-02T19:15:00,142.3,926.2
2026-01-02,19,30,2026-01-02T19:30:00,143.61,931.675
2026-01-02,19,45,2026-01-02T19:45:00,136.15,940.0
2026-01-02,20,0,2026-01-02T20:00:00,147.56,734.1
2026-01-02,20,15,2026-01-02T20:15:00,137.79,743.575
2026-01-02,20,30,2026-01-02T20:30:00,138.05,747.95
2026-01-02,20,45,2026-01-02T20:45:00,119.11,748.8
2026-01-02,21,0,2026-01-02T21:00:00,142.24,752.25
2026-01-02,21,15,2026-01-02T21:15:00,119.77,750.525
2026-01-02,21,30,2026-01-02T21:30:00,114.8,758.05
2026-01-02,21,45,2026-01-02T21:45:00,101.45,760.05
2026-01-02,22,0,2026-01-02T22:00:00,117.47,732.025
2026-01-02,22,15,2026-01-02T22:15:00,108.04,727.8
2026-01-02,22,30,2026-01-02T22:30:00,98.23,742.625
2026-01-02,22,45,2026-01-02T22:45:00,86.32,756.975
2026-01-02,23,0,2026-01-02T23:00:00,89.78,751.75
2026-01-02,23,15,2026-01-02T23:15:00,83.97,773.8
2026-01-02,23,30,2026-01-02T23:30:00,82.68,781.475
2026-01-02,23,45,2026-01-02T23:45:00,78.97,791.125
2026-01-03,0,0,2026-01-03T00:00:00,84.34,753.15
2026-01-03,0,15,2026-01-03T00:15:00,82.79,766.85
2026-01-03,0,30,2026-01-03T00:30:00,78.94,756.125
2026-01-03,0,45,2026-01-03T00:45:00,76.43,763.675
2026-01-03,1,0,2026-01-03T01:00:00,80.9,797.075
2026-01-03,1,15,2026-01-03T01:15:00,77.99,824.85
2026-01-03,1,30,2026-01-03T01:30:00,81.36,817.175
2026-01-03,1,45,2026-01-03T01:45:00,87.76,893.75
2026-01-03,2,0,2026-01-03T02:00:00,90.33,821.05
2026-01-03,2,15,2026-01-03T02:15:00,85.35,826.675
2026-01-03,2,30,2026-01-03T02:30:00,82.76,817.225
2026-01-03,2,45,2026-01-03T02:45:00,83.16,827.575
2026-01-03,3,0,2026-01-03T03:00:00,90.15,824.05
2026-01-03,3,15,2026-01-03T03:15:00,88.62,828.675
2026-01-03,3,30,2026-01-03T03:30:00,85.9,831.925
2026-01-03,3,45,2026-01-03T03:45:00,79.81,813.9
2026-01-03,4,0,2026-01-03T04:00:00,86.61,905.8
2026-01-03,4,15,2026-01-03T04:15:00,82.26,905.85
2026-01-03,4,30,2026-01-03T04:30:00,81.01,906.85
2026-01-03,4,45,2026-01-03T04:45:00,81.51,909.0
2026-01-03,5,0,2026-01-03T05:00:00,76.36,939.475
2026-01-03,5,15,2026-01-03T05:15:00,78.29,935.875
2026-01-03,5,30,2026-01-03T05:30:00,75.3,931.15
2026-01-03,5,45,2026-01-03T05:45:00,81.76,925.6
2026-01-03,6,0,2026-01-03T06:00:00,82.44,902.55
2026-01-03,6,15,2026-01-03T06:15:00,80.75,881.975
2026-01-03,6,30,2026-01-03T06:30:00,81.26,888.225
2026-01-03,6,45,2026-01-03T06:45:00,87.0,867.5
2026-01-03,7,0,2026-01-03T07:00:00,78.56,752.15
2026-01-03,7,15,2026-01-03T07:15:00,83.99,760.55
2026-01-03,7,30,2026-01-03T07:30:00,86.69,764.275
2026-01-03,7,45,2026-01-03T07:45:00,85.05,747.275
2026-01-03,8,0,2026-01-03T08:00:00,87.85,746.15
2026-01-03,8,15,2026-01-03T08:15:00,90.35,739.075
2026-01-03,8,30,2026-01-03T08:30:00,91.91,727.45
2026-01-03,8,45,2026-01-03T08:45:00,92.65,719.25
2026-01-03,9,0,2026-01-03T09:00:00,95.35,706.2
2026-01-03,9,15,2026-01-03T09:15:00,95.63,705.05
2026-01-03,9,30,2026-01-03T09:30:00,94.34,703.575
2026-01-03,9,45,2026-01-03T09:45:00,91.04,693.5
2026-01-03,10,0,2026-01-03T10:00:00,98.94,708.35
2026-01-03,10,15,2026-01-03T10:15:00,95.0,708.175
2026-01-03,10,30,2026-01-03T10:30:00,91.45,705.4
2026-01-03,10,45,2026-01-03T10:45:00,87.85,705.625
2026-01-03,11,0,2026-01-03T11:00:00,91.95,715.05
2026-01-03,11,15,2026-01-03T11:15:00,89.0,717.075
2026-01-03,11,30,2026-01-03T11:30:00,87.85,718.925
2026-01-03,11,45,2026-01-03T11:45:00,86.03,719.5
2026-01-03,12,0,2026-01-03T12:00:00,87.85,738.225
2026-01-03,12,15,2026-01-03T12:15:00,87.06,736.075
2026-01-03,12,30,2026-01-03T12:30:00,87.16,735.075
2026-01-03,12,45,2026-01-03T12:45:00,87.58,741.55
2026-01-03,13,0,2026-01-03T13:00:00,85.85,752.925
2026-01-03,13,15,2026-01-03T13:15:00,85.55,748.475
2026-01-03,13,30,2026-01-03T13:30:00,86.03,746.775
2026-01-03,13,45,2026-01-03T13:45:00,88.99,746.6
2026-01-03,14,0,2026-01-03T14:00:00,85.11,731.75
2026-01-03,14,15,2026-01-03T14:15:00,88.15,723.675
2026-01-03,14,30,2026-01-03T14:30:00,90.7,726.225
2026-01-03,14,45,2026-01-03T14:45:00,100.59,742.9
2026-01-03,15,0,2026-01-03T15:00:00,90.0,782.075
2026-01-03,15,15,2026-01-03T15:15:00,94.33,783.95
2026-01-03,15,30,2026-01-03T15:30:00,101.54,799.275
2026-01-03,15,45,2026-01-03T15:45:00,108.43,837.025
2026-01-03,16,0,2026-01-03T16:00:00,99.88,860.45
2026-01-03,16,15,2026-01-03T16:15:00,106.73,857.85
2026-01-03,16,30,2026-01-03T16:30:00,107.42,849.475
2026-01-03,16,45,2026-01-03T16:45:00,108.03,848.925
2026-01-03,17,0,2026-01-03T17:00:00,110.94,892.1
2026-01-03,17,15,2026-01-03T17:15:00,110.07,892.35
2026-01-03,17,30,2026-01-03T17:30:00,111.01,897.4
2026-01-03,17,45,2026-01-03T17:45:00,111.91,909.225
2026-01-03,18,0,2026-01-03T18:00:00,114.67,908.95
2026-01-03,18,15,2026-01-03T18:15:00,111.82,915.625
2026-01-03,18,30,2026-01-03T18:30:00,112.74,925.3
2026-01-03,18,45,2026-01-03T18:45:00,110.15,934.65
2026-01-03,19,0,2026-01-03T19:00:00,111.38,915.725
2026-01-03,19,15,2026-01-03T19:15:00,110.67,922.125
2026-01-03,19,30,2026-01-03T19:30:00,107.18,927.775
2026-01-03,19,45,2026-01-03T19:45:00,107.01,930.525
2026-01-03,20,0,2026-01-03T20:00:00,109.43,889.575
2026-01-03,20,15,2026-01-03T20:15:00,107.81,892.175
2026-01-03,20,30,2026-01-03T20:30:00,105.28,901.45
2026-01-03,20,45,2026-01-03T20:45:00,100.9,913.275
2026-01-03,21,0,2026-01-03T21:00:00,108.22,917.825
2026-01-03,21,15,2026-01-03T21:15:00,100.17,926.35
2026-01-03,21,30,2026-01-03T21:30:00,96.49,928.975
2026-01-03,21,45,2026-01-03T21:45:00,86.0,938.825
2026-01-03,22,0,2026-01-03T22:00:00,98.0,906.575
