date,hour,minute,interval_start,price_eur_mwh,volume_mwh
2025-10-01,0,0,2025-10-01T00:00:00,97.21,868.85
2025-10-01,0,15,2025-10-01T00:15:00,88.1,852.475
2025-10-01,0,30,2025-10-01T00:30:00,78.98,852.25
2025-10-01,0,45,2025-10-01T00:45:00,77.95,852.05
2025-10-01,1,0,2025-10-01T01:00:00,87.92,854.075
2025-10-01,1,15,2025-10-01T01:15:00,80.93,854.175
2025-10-01,1,30,2025-10-01T01:30:00,80.42,855.025
2025-10-01,1,45,2025-10-01T01:45:00,80.01,855.725
2025-10-01,2,0,2025-10-01T02:00:00,78.01,856.35
2025-10-01,2,15,2025-10-01T02:15:00,77.22,856.15
2025-10-01,2,30,2025-10-01T02:30:00,79.1,856.425
2025-10-01,2,45,2025-10-01T02:45:00,79.84,857.0
2025-10-01,3,0,2025-10-01T03:00:00,89.08,867.4
2025-10-01,3,15,2025-10-01T03:15:00,89.06,867.55
2025-10-01,3,30,2025-10-01T03:30:00,90.35,867.725
2025-10-01,3,45,2025-10-01T03:45:00,92.19,896.425
2025-10-01,4,0,2025-10-01T04:00:00,87.64,871.65
2025-10-01,4,15,2025-10-01T04:15:00,89.9,870.65
2025-10-01,4,30,2025-10-01T04:30:00,86.95,869.9
2025-10-01,4,45,2025-10-01T04:45:00,91.55,870.5
2025-10-01,5,0,2025-10-01T05:00:00,86.19,886.7
2025-10-01,5,15,2025-10-01T05:15:00,92.83,888.025
2025-10-01,5,30,2025-10-01T05:30:00,99.33,888.4
2025-10-01,5,45,2025-10-01T05:45:00,111.12,892.425
2025-10-01,6,0,2025-10-01T06:00:00,99.89,933.15
2025-10-01,6,15,2025-10-01T06:15:00,119.33,929.35
2025-10-01,6,30,2025-10-01T06:30:00,135.82,937.525
2025-10-01,6,45,2025-10-01T06:45:00,154.14,947.325
2025-10-01,7,0,2025-10-01T07:00:00,162.89,1061.875
2025-10-01,7,15,2025-10-01T07:15:00,184.09,1060.775
2025-10-01,7,30,2025-10-01T07:30:00,182.23,1060.85
2025-10-01,7,45,2025-10-01T07:45:00,172.63,1061.5
2025-10-01,8,0,2025-10-01T08:00:00,199.06,950.3
2025-10-01,8,15,2025-10-01T08:15:00,143.13,948.75
2025-10-01,8,30,2025-10-01T08:30:00,117.51,947.175
