date,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,total_volume
2026-01-01,0,00:00,down,7,6.95,6.00,6.45,6.95,6.95,6.95,269.0
2026-01-01,0,00:00,up,14,40.00,30.60,32.25,35.64,37.98,37.98,453.0
2026-01-01,1,04:00,down,2,6.95,6.95,6.95,6.95,6.95,6.95,88.0
2026-01-01,1,04:00,up,8,39.97,34.70,35.00,36.09,39.97,39.97,193.0
2026-01-01,2,08:00,down,7,6.95,6.57,6.95,6.95,6.95,6.95,331.0
2026-01-01,2,08:00,up,22,39.97,32.10,33.15,37.98,39.47,39.97,531.0
2026-01-01,3,12:00,down,4,6.95,6.00,6.00,6.47,6.95,6.95,112.0
2026-01-01,3,12:00,up,5,37.98,27.54,33.02,37.98,37.98,37.98,178.0
2026-01-01,4,16:00,down,4,6.95,6.95,6.95,6.95,6.95,6.95,242.0
2026-01-01,4,16:00,up,16,39.97,34.00,35.00,36.44,39.97,39.97,296.0
2026-01-01,5,20:00,down,4,6.95,6.95,6.95,6.95,6.95,6.95,188.0
2026-01-01,5,20:00,up,11,37.98,32.00,32.50,37.98,37.98,37.98,320.0
2026-01-02,0,00:00,down,7,6.95,6.00,6.45,6.95,6.95,6.95,269.0
2026-01-02,0,00:00,up,14,40.00,30.60,32.25,35.64,37.98,37.98,453.0
2026-01-02,1,04:00,down,2,6.95,6.95,6.95,6.95,6.95,6.95,88.0
2026-01-02,1,04:00,up,8,39.97,34.70,35.00,36.09,39.97,39.97,193.0
2026-01-02,2,08:00,down,7,6.95,6.57,6.95,6.95,6.95,6.95,329.0
2026-01-02,2,08:00,up,21,39.97,32.00,33.00,37.98,37.98,39.97,515.0
2026-01-02,3,12:00,down,4,6.95,6.00,6.00,6.47,6.95,6.95,111.0
2026-01-02,3,12:00,up,5,37.98,27.54,33.02,37.98,37.98,37.98,178.0
2026-01-02,4,16:00,down,4,6.95,6.95,6.95,6.95,6.95,6.95,242.0
2026-01-02,4,16:00,up,16,39.97,34.00,35.00,36.44,39.97,39.97,296.0
2026-01-02,5,20:00,down,4,6.95,6.95,6.95,6.95,6.95,6.95,188.0
2026-01-02,5,20:00,up,11,37.98,32.00,32.50,37.98,37.98,37.98,320.0
2026-01-03,0,00:00,down,10,6.48,5.00,6.00,6.00,6.48,6.48,282.0
2026-01-03,0,00:00,up,12,40.00,30.20,32.00,37.98,37.98,37.98,443.0
2026-01-03,1,04:00,down,2,6.48,6.48,6.48,6.48,6.48,6.48,88.0
2026-01-03,1,04:00,up,7,39.97,34.60,35.00,36.00,39.97,39.97,188.0
2026-01-03,2,08:00,down,10,6.48,5.90,6.00,6.48,6.48,6.48,365.0
2026-01-03,2,08:00,up,19,39.97,32.00,33.00,37.98,39.97,39.97,516.0
2026-01-03,3,12:00,down,7,6.48,5.00,5.50,6.00,6.24,6.48,139.0
2026-01-03,3,12:00,up,4,37.98,28.12,34.46,37.98,37.98,37.98,173.0
2026-01-03,4,16:00,down,4,6.48,6.48,6.48,6.48,6.48,6.48,242.0
2026-01-03,4,16:00,up,14,39.97,34.00,35.00,37.98,39.97,39.97,286.0
2026-01-03,5,20:00,down,4,6.48,6.48,6.48,6.48,6.48,6.48,188.0
2026-01-03,5,20:00,up,10,37.98,31.19,32.25,37.98,37.98,37.98,315.0
2026-01-04,0,00:00,down,10,6.48,5.00,6.00,6.00,6.48,6.48,282.0
2026-01-04,0,00:00,up,12,40.00,30.20,32.00,37.98,37.98,37.98,443.0
2026-01-04,1,04:00,down,2,6.48,6.48,6.48,6.48,6.48,6.48,88.0
2026-01-04,1,04:00,up,7,39.97,34.60,35.00,36.00,39.97,39.97,188.0
2026-01-04,2,08:00,down,10,6.48,5.00,5.00,6.48,6.48,6.48,369.0
2026-01-04,2,08:00,up,19,39.97,32.00,33.00,37.98,39.97,39.97,516.0
2026-01-04,3,12:00,down,6,6.48,5.00,5.00,5.00,6.11,6.48,138.0
2026-01-04,3,12:00,up,4,37.98,28.12,34.46,37.98,37.98,37.98,173.0
2026-01-04,4,16:00,down,4,6.48,6.48,6.48,6.48,6.48,6.48,242.0
2026-01-04,4,16:00,up,14,39.97,34.00,35.00,37.98,39.97,39.97,286.0
2026-01-04,5,20:00,down,4,6.48,6.48,6.48,6.48,6.48,6.48,188.0
2026-01-04,5,20:00,up,10,37.98,31.19,32.25,37.98,37.98,37.98,315.0
2026-01-05,0,00:00,down,10,6.48,5.00,6.00,6.00,6.48,6.48,282.0
2026-01-05,0,00:00,up,12,40.00,30.20,32.00,37.98,37.98,37.98,443.0
2026-01-05,1,04:00,down,2,6.48,6.48,6.48,6.48,6.48,6.48,88.0
2026-01-05,1,04:00,up,7,39.97,34.60,35.00,36.00,39.97,39.97,188.0
2026-01-05,2,08:00,down,10,6.48,5.00,5.00,6.48,6.48,6.48,369.0
2026-01-05,2,08:00,up,19,39.97,32.00,33.00,37.98,39.97,39.97,516.0
2026-01-05,3,12:00,down,5,6.48,5.00,5.00,5.00,6.48,6.48,125.0
2026-01-05,3,12:00,up,4,37.98,28.12,34.46,37.98,37.98,37.98,173.0
2026-01-05,4,16:00,down,4,6.48,6.48,6.48,6.48,6.48,6.48,242.0
2026-01-05,4,16:00,up,14,39.97,34.00,35.00,37.98,39.97,39.97,286.0
2026-01-05,5,20:00,down,4,6.48,6.48,6.48,6.48,6.48,6.48,188.0
2026-01-05,5,20:00,up,10,37.98,31.19,32.25,37.98,37.98,37.98,315.0
2026-01-06,0,00:00,down,14,6.37,3.30,4.20,5.00,6.25,6.37,335.0
2026-01-06,0,00:00,up,14,40.00,30.00,32.00,35.49,37.98,37.98,474.0
2026-01-06,1,04:00,down,3,6.37,5.10,5.58,6.37,6.37,6.37,83.0
2026-01-06,1,04:00,up,8,39.97,34.70,35.00,35.62,39.97,39.97,216.0
2026-01-06,2,08:00,down,12,6.37,3.00,3.00,4.92,5.85,6.32,337.0
2026-01-06,2,08:00,up,22,39.97,32.04,33.00,37.98,39.47,39.97,552.0
2026-01-06,3,12:00,down,7,6.37,3.00,3.00,4.00,5.19,6.37,132.0
2026-01-06,3,12:00,up,6,37.98,28.00,32.33,35.49,37.98,37.98,222.0
2026-01-06,4,16:00,down,5,5.85,5.85,5.85,5.85,5.85,5.85,266.0
2026-01-06,4,16:00,up,16,39.97,34.00,34.78,35.83,39.97,39.97,317.0
